session_id,candidate_id,job_title,job_level,region,start_time,end_time,assistant_enabled,outcome,candidate_feedback_score
sid-561eb5893911,cid-1032,Data Analyst,junior,EU,2025-10-24T09:15:00Z,2025-10-24T10:30:00Z,TRUE,pass,4
sid-e651397c15b9,cid-1035,BI Engineer,mid,US,2025-09-14T15:30:00Z,2025-09-14T16:15:00Z,TRUE,no_show,
sid-998895fd6b82,cid-1062,Backend Engineer,junior,EU,2025-11-12T11:45:00Z,2025-11-12T12:15:00Z,TRUE,pass,5
sid-aac7ec23f63d,cid-1014,Product Analyst,junior,US,2025-09-26T15:15:00Z,2025-09-26T16:15:00Z,FALSE,pass,3
sid-ccd374640dca,cid-1001,BI Engineer,senior,IN,2025-09-05T10:00:00Z,2025-09-05T11:15:00Z,FALSE,fail,2
sid-fb6f7ec20656,cid-1067,BI Engineer,junior,EU,2025-11-24T16:45:00Z,2025-11-24T17:15:00Z,TRUE,no_show,
sid-751452b68c7c,cid-1074,BI Engineer,junior,EU,2025-09-26T18:15:00Z,2025-09-26T19:15:00Z,TRUE,fail,4
sid-06136ff563e8,cid-1059,Data Analyst,mid,EU,2025-09-05T11:30:00Z,2025-09-05T12:00:00Z,FALSE,fail,5
sid-5591663e8f35,cid-1084,Data Scientist,junior,US,2025-10-13T10:30:00Z,2025-10-13T11:45:00Z,TRUE,pass,3
sid-72936a2c940b,cid-1046,BI Engineer,senior,US,2025-11-06T15:00:00Z,2025-11-06T16:15:00Z,TRUE,pass,5
sid-8f36e7dfae58,cid-1043,Data Analyst,junior,IN,2025-09-13T11:00:00Z,2025-09-13T12:15:00Z,TRUE,fail,5
sid-e8db747fcf52,cid-1040,Backend Engineer,mid,IN,2025-10-06T20:45:00Z,2025-10-06T22:00:00Z,TRUE,fail,
sid-583db615f3cb,cid-1089,Data Analyst,junior,US,2025-10-07T20:30:00Z,2025-10-07T21:30:00Z,TRUE,no_show,
sid-91e2f1d662b2,cid-1021,Backend Engineer,junior,EU,2025-10-16T15:00:00Z,2025-10-16T15:30:00Z,TRUE,pass,5
sid-723dcb366cf4,cid-1027,Data Scientist,junior,EU,2025-11-09T12:30:00Z,2025-11-09T13:15:00Z,TRUE,fail,4
sid-d988e609eb02,cid-1018,Backend Engineer,mid,US,2025-11-16T08:00:00Z,2025-11-16T09:30:00Z,TRUE,pass,4
sid-1962bf348169,cid-1068,BI Engineer,senior,EU,2025-10-09T12:30:00Z,2025-10-09T13:45:00Z,FALSE,pass,3
sid-2498c3a53788,cid-1066,BI Engineer,junior,US,2025-09-09T13:45:00Z,2025-09-09T14:30:00Z,TRUE,fail,3
sid-793e1090d12f,cid-1002,Backend Engineer,mid,IN,2025-09-02T14:15:00Z,2025-09-02T15:00:00Z,TRUE,fail,4
sid-71adb0a3ecf2,cid-1062,Data Scientist,junior,US,2025-11-22T08:45:00Z,2025-11-22T10:15:00Z,TRUE,fail,
sid-37c811d6d284,cid-1056,Data Analyst,junior,EU,2025-10-06T15:30:00Z,2025-10-06T16:30:00Z,TRUE,pass,5
sid-59ec67ef7634,cid-1035,BI Engineer,mid,EU,2025-11-15T19:00:00Z,2025-11-15T19:45:00Z,TRUE,fail,5
sid-86653427e644,cid-1093,Backend Engineer,junior,IN,2025-09-19T14:00:00Z,2025-09-19T15:30:00Z,FALSE,fail,
sid-db8d5c538db8,cid-1014,Data Scientist,junior,IN,2025-10-22T13:30:00Z,2025-10-22T15:00:00Z,TRUE,pass,4
sid-951cc34828c7,cid-1061,BI Engineer,junior,EU,2025-10-21T16:30:00Z,2025-10-21T17:00:00Z,TRUE,fail,
sid-147fb4918a98,cid-1098,Product Analyst,junior,EU,2025-11-13T10:00:00Z,2025-11-13T11:15:00Z,TRUE,fail,
sid-cd0175fe043f,cid-1031,Backend Engineer,mid,US,2025-10-15T12:00:00Z,2025-10-15T13:00:00Z,TRUE,fail,5
sid-080447c6525c,cid-1087,Backend Engineer,senior,EU,2025-10-26T15:15:00Z,2025-10-26T16:15:00Z,FALSE,pass,4
sid-923bd8875faf,cid-1053,BI Engineer,mid,EU,2025-11-21T09:15:00Z,2025-11-21T10:30:00Z,TRUE,fail,5
sid-9352ea9e0e55,cid-1035,Backend Engineer,mid,EU,2025-11-14T13:30:00Z,2025-11-14T15:00:00Z,FALSE,no_show,
sid-48f1c5a29d50,cid-1051,Data Scientist,junior,EU,2025-11-08T08:00:00Z,2025-11-08T09:15:00Z,TRUE,no_show,
sid-9b98efea1f99,cid-1094,Data Analyst,senior,EU,2025-09-01T15:15:00Z,2025-09-01T15:45:00Z,FALSE,pass,3
sid-0df24d920ef6,cid-1043,BI Engineer,junior,IN,2025-09-14T10:45:00Z,2025-09-14T11:30:00Z,TRUE,fail,
sid-73d97e9f5002,cid-1089,Product Analyst,mid,EU,2025-09-15T12:15:00Z,2025-09-15T13:30:00Z,TRUE,fail,3
sid-04557b45111b,cid-1096,Backend Engineer,mid,IN,2025-10-31T16:15:00Z,2025-10-31T17:30:00Z,TRUE,fail,4
sid-80d535acdb83,cid-1098,Data Analyst,mid,US,2025-10-09T18:30:00Z,2025-10-09T19:00:00Z,FALSE,pass,3
sid-c21ce034c1c8,cid-1046,BI Engineer,junior,EU,2025-11-02T10:15:00Z,2025-11-02T10:45:00Z,TRUE,pass,3
sid-dc5fdd1776be,cid-1040,Backend Engineer,mid,EU,2025-09-15T08:15:00Z,2025-09-15T09:45:00Z,TRUE,pass,5
sid-12ab7cf4c627,cid-1098,Backend Engineer,senior,US,2025-11-26T13:00:00Z,2025-11-26T14:30:00Z,FALSE,pass,
sid-ec6c87dce7b3,cid-1027,BI Engineer,junior,US,2025-11-05T15:45:00Z,2025-11-05T16:15:00Z,TRUE,fail,4
sid-1e4609526c26,cid-1040,Data Analyst,mid,US,2025-11-10T09:00:00Z,2025-11-10T10:15:00Z,TRUE,pass,4
sid-41c32de70149,cid-1077,BI Engineer,mid,IN,2025-11-08T12:45:00Z,2025-11-08T13:15:00Z,TRUE,pass,4
sid-0cb470d5a910,cid-1041,Backend Engineer,junior,EU,2025-10-15T09:15:00Z,2025-10-15T10:30:00Z,TRUE,fail,5
sid-5f410a9fe3cc,cid-1077,Data Scientist,junior,EU,2025-09-13T10:30:00Z,2025-09-13T11:15:00Z,TRUE,pass,
sid-e3cf5900da57,cid-1097,Backend Engineer,junior,US,2025-09-11T19:45:00Z,2025-09-11T20:30:00Z,TRUE,pass,4
sid-fd59793f5583,cid-1070,Backend Engineer,senior,EU,2025-10-13T11:30:00Z,2025-10-13T13:00:00Z,FALSE,pass,2
sid-5a2e232e5792,cid-1068,BI Engineer,senior,US,2025-09-15T20:15:00Z,2025-09-15T21:30:00Z,FALSE,pass,
sid-ad787614aa49,cid-1034,Data Scientist,mid,IN,2025-09-29T13:15:00Z,2025-09-29T14:30:00Z,FALSE,pass,4
sid-977c66ce6d1d,cid-1030,Backend Engineer,mid,IN,2025-11-27T12:00:00Z,2025-11-27T13:00:00Z,FALSE,fail,
sid-35442343b21d,cid-1029,Backend Engineer,mid,US,2025-09-27T14:45:00Z,2025-09-27T15:45:00Z,TRUE,fail,
sid-35430db60474,cid-1061,Data Analyst,mid,EU,2025-10-01T19:00:00Z,2025-10-01T19:45:00Z,FALSE,pass,4
sid-ec7ad43231db,cid-1077,Product Analyst,junior,IN,2025-09-16T19:15:00Z,2025-09-16T20:30:00Z,TRUE,fail,3
sid-063211e315cb,cid-1089,Data Analyst,mid,IN,2025-09-04T08:30:00Z,2025-09-04T09:00:00Z,TRUE,fail,4
sid-20c3dca9510d,cid-1064,Backend Engineer,senior,EU,2025-09-15T13:45:00Z,2025-09-15T15:00:00Z,TRUE,no_show,
sid-c8a6acd6a5c8,cid-1023,Product Analyst,senior,US,2025-10-13T08:15:00Z,2025-10-13T09:15:00Z,TRUE,pass,3
sid-2b7ac129599e,cid-1070,Backend Engineer,mid,US,2025-10-29T12:45:00Z,2025-10-29T13:45:00Z,FALSE,no_show,
sid-64b97cc43fcb,cid-1071,Data Scientist,mid,US,2025-09-03T18:45:00Z,2025-09-03T19:45:00Z,FALSE,fail,4
sid-91bccdfcebb4,cid-1010,Product Analyst,junior,IN,2025-11-29T11:15:00Z,2025-11-29T12:00:00Z,TRUE,fail,4
sid-62de6145feee,cid-1027,Product Analyst,junior,EU,2025-09-22T20:15:00Z,2025-09-22T20:45:00Z,FALSE,no_show,
sid-be3c7ad70da6,cid-1087,Data Analyst,mid,EU,2025-11-19T15:30:00Z,2025-11-19T16:45:00Z,FALSE,fail,5
sid-4f753745efb8,cid-1054,Data Analyst,junior,IN,2025-10-17T12:15:00Z,2025-10-17T13:45:00Z,FALSE,fail,4
sid-cb28c2caa7b7,cid-1049,Data Analyst,mid,US,2025-11-07T16:15:00Z,2025-11-07T17:30:00Z,TRUE,pass,5
sid-a4cdb935db77,cid-1082,Backend Engineer,senior,IN,2025-10-05T12:45:00Z,2025-10-05T14:15:00Z,FALSE,pass,4
sid-bc4b7ec7a3fd,cid-1074,Backend Engineer,mid,IN,2025-10-14T20:45:00Z,2025-10-14T21:15:00Z,TRUE,fail,5
sid-3d226009e79b,cid-1082,Backend Engineer,mid,US,2025-09-20T08:30:00Z,2025-09-20T09:45:00Z,FALSE,fail,4
sid-0a54ba47484c,cid-1086,BI Engineer,senior,IN,2025-09-24T09:45:00Z,2025-09-24T11:15:00Z,FALSE,pass,4
sid-7ddf861d30a5,cid-1052,BI Engineer,senior,IN,2025-11-08T13:00:00Z,2025-11-08T13:30:00Z,TRUE,fail,4
sid-4f7120f7db89,cid-1015,Data Analyst,mid,IN,2025-12-01T19:00:00Z,2025-12-01T19:45:00Z,TRUE,no_show,
sid-4f8c2b8f29b1,cid-1067,Backend Engineer,junior,EU,2025-10-08T17:30:00Z,2025-10-08T18:00:00Z,FALSE,fail,
sid-b270c3066431,cid-1006,Data Analyst,junior,IN,2025-10-14T20:45:00Z,2025-10-14T21:30:00Z,TRUE,pass,4
sid-b8fc9f678ba1,cid-1095,Product Analyst,mid,US,2025-10-18T20:15:00Z,2025-10-18T21:00:00Z,TRUE,pass,3
